pxcor pycor visit-count-red visit-count-blue visit-count-green pcolor
18 14 2 1 5 95
10 18 0 10 13 95
20 12 0 11 11 9.9
7 8 5 0 18 135
7 19 8 13 10 9.9
17 15 5 4 6 95
16 6 3 7 31 65
21 10 2 6 4 65
23 12 5 11 14 135
0 4 48 0 1 135
24 9 25 1 3 135
7 6 10 1 9 9.9
10 13 0 14 17 9.9
15 3 0 24 8 95
6 8 23 0 14 135
19 19 0 10 9 9.9
21 15 0 12 7 9.9
3 1 4 2 1 9.9
16 15 0 8 7 95
13 13 5 4 6 9.9
24 19 5 6 5 9.9
24 2 23 0 2 135
10 6 0 7 5 9.9
5 15 0 13 25 9.9
16 18 3 6 1 95
20 8 0 16 6 65
16 14 0 6 9 95
16 13 0 15 16 95
15 12 1 7 12 9.9
1 20 3 11 2 9.9
6 20 3 3 2 135
1 12 37 6 6 135
15 8 11 13 4 9.9
17 16 14 5 3 95
3 20 5 2 2 9.9
18 2 5 5 13 65
17 11 4 22 7 9.9
4 5 41 0 4 9.9
20 16 8 15 2 9.9
2 0 6 4 2 9.9
0 9 9 1 0 9.9
17 12 0 21 10 95
1 13 9 18 19 135
12 3 0 11 7 9.9
12 17 0 14 16 95
0 18 0 14 8 9.9
0 20 12 8 4 9.9
11 19 0 13 11 95
11 9 10 2 17 135
24 15 0 16 16 9.9
10 7 0 5 9 9.9
14 2 0 26 4 95
7 2 6 9 3 9.9
8 8 19 0 29 135
9 12 0 13 20 9.9
19 18 0 6 3 95
7 10 29 0 32 135
14 19 2 7 10 95
20 10 0 18 6 65
0 19 1 11 6 9.9
20 4 0 23 21 65
12 2 0 10 7 95
0 12 8 6 11 135
20 6 0 31 24 65
13 10 48 7 14 9.9
10 5 3 11 4 9.9
6 12 9 6 19 135
21 1 16 13 10 65
1 0 6 10 5 9.9
10 15 3 8 11 9.9
3 5 48 2 3 9.9
6 9 20 0 22 135
7 15 0 24 20 9.9
9 20 0 7 5 95
8 16 4 7 9 9.9
21 3 3 5 22 65
6 10 19 0 15 135
8 18 8 21 11 9.9
12 19 0 20 8 95
6 4 16 11 7 135
16 9 18 15 14 9.9
15 18 3 1 3 9.9
20 17 22 10 2 9.9
23 19 11 1 6 9.9
16 20 7 18 8 95
13 17 0 15 11 95
15 17 2 4 3 95
6 0 7 2 14 135
6 7 15 0 6 135
2 2 32 0 1 135
1 19 0 13 1 9.9
24 11 9 13 15 135
8 6 5 1 3 9.9
8 19 2 18 15 9.9
22 3 7 0 10 65
13 11 27 6 20 9.9
0 0 21 7 5 9.9
5 1 6 5 12 135
10 10 7 0 12 135
13 14 16 9 8 95
23 7 50 3 1 9.9
5 6 20 6 6 135
4 20 5 9 3 135
2 9 39 0 0 9.9
15 5 0 18 3 65
13 7 12 9 5 9.9
18 8 3 19 6 9.9
13 18 0 13 12 9.9
14 12 5 4 16 9.9
22 20 10 2 3 9.9
14 15 11 7 17 95
3 2 17 1 2 135
8 3 15 22 7 135
10 3 4 7 13 135
3 9 61 0 2 9.9
16 5 0 11 5 65
19 1 21 4 8 9.9
22 0 22 9 6 9.9
21 14 0 9 11 9.9
11 14 4 8 12 9.9
3 13 3 29 30 135
11 18 0 14 13 95
5 7 30 10 4 135
7 4 16 21 8 135
8 13 0 9 28 9.9
18 15 3 2 2 95
22 13 0 8 8 9.9
16 4 0 12 10 65
8 5 6 10 11 9.9
17 13 0 19 5 95
12 8 10 9 8 9.9
2 7 25 0 0 135
6 11 15 0 22 135
13 9 50 10 13 9.9
20 1 20 12 11 9.9
12 14 12 11 12 95
4 4 19 0 3 9.9
18 12 0 16 9 95
23 15 0 14 14 9.9
13 5 0 20 11 9.9
2 6 8 2 0 9.9
4 11 6 8 19 135
9 6 0 0 5 9.9
18 1 28 2 12 9.9
9 1 4 6 6 135
12 20 0 12 7 95
15 14 2 9 11 9.9
17 7 5 8 11 9.9
15 10 3 15 13 9.9
7 7 10 0 6 9.9
16 17 3 8 2 95
7 20 4 4 12 135
14 8 24 15 3 9.9
